timestamp_pc_ms,frequencia_hz,magnitude
1754017424808,1804.69,0.303344
1754017424808,1812.5,0.105283
1754017424808,1820.31,0.429688
1754017424808,1828.13,0.495527
1754017424809,1835.94,0.348032
1754017424809,1843.75,0.189487
1754017424809,1851.56,0.666816
1754017424809,1859.38,1.427391
1754017424810,1867.19,0.904042
1754017424810,1875.0,0.573518
1754017424810,1882.81,0.32434
1754017424811,1890.63,0.13693
1754017424811,1898.44,0.247554
1754017425152,7.81,0.419127
1754017425152,15.63,0.200566
1754017425153,23.44,0.102831
1754017425153,31.25,0.325875
1754017425153,39.06,0.250001
1754017425154,46.88,0.669598
1754017425154,54.69,6.12216
1754017425155,62.5,8.139292
1754017425155,70.31,2.675254
1754017425156,78.12,0.244819
1754017425156,85.94,0.191445
1754017425156,93.75,0.42886
1754017425157,101.56,0.42845
1754017425157,109.37,0.118461
1754017425158,117.19,0.655209
1754017425158,125.0,0.647645
1754017425159,132.81,0.140722
1754017425159,140.62,0.614483
1754017425159,148.44,0.533047
1754017425160,156.25,0.366919
1754017425160,164.06,0.573793
1754017425161,171.87,3.647932
1754017425161,179.69,8.19582
1754017425161,187.5,4.380484
1754017425162,195.31,0.258589
1754017425162,203.12,0.573216
1754017425163,210.94,0.24419
1754017425163,218.75,0.291974
1754017425164,226.56,0.518228
1754017425164,234.37,0.785161
1754017425165,242.19,0.559338
1754017425165,250.0,0.343208
1754017425165,257.81,0.127114
1754017425166,265.62,0.306713
1754017425166,273.44,0.138603
1754017425166,281.25,0.424405
1754017425167,289.06,2.502073
1754017425167,296.87,7.666834
1754017425167,304.69,6.679774
1754017425168,312.5,1.315701
1754017425168,320.31,0.302789
1754017425168,328.12,0.532658
1754017425168,335.94,0.224052
1754017425169,343.75,0.213466
1754017425169,351.56,0.63954
1754017425169,359.37,1.009313
1754017425170,367.19,0.742858
1754017425170,375.0,0.484839
1754017425170,382.81,0.279768
1754017425170,390.62,0.321015
1754017425171,398.44,0.256741
1754017425171,406.25,0.769946
1754017425171,414.06,5.568537
1754017425171,421.87,7.532636
1754017425172,429.69,2.750679
1754017425172,437.5,0.280241
1754017425173,445.31,0.589448
1754017425173,453.12,0.605736
1754017425173,460.94,0.487851
1754017425174,468.75,0.124871
1754017425174,476.56,0.534792
1754017425174,484.37,0.680218
1754017425175,492.19,0.512494
1754017425175,500.0,0.469632
1754017425175,507.81,0.266969
1754017425176,515.62,0.099269
1754017425176,523.44,0.226366
1754017425177,531.25,2.83125
1754017425177,539.06,7.254517
1754017425177,546.87,4.352752
1754017425178,554.69,0.096658
1754017425178,562.5,0.220781
1754017425178,570.31,0.143542
1754017425179,578.12,0.271369
1754017425179,585.94,0.016736
1754017425179,593.75,0.653153
1754017425179,601.56,0.680586
1754017425180,609.37,0.233975
1754017425180,617.19,0.296651
1754017425180,625.0,0.225421
1754017425181,632.81,0.259756
1754017425181,640.62,0.102501
1754017425181,648.44,1.137254
1754017425181,656.25,5.304787
1754017425182,664.06,5.408682
1754017425182,671.87,1.353267
1754017425182,679.69,0.440294
1754017425183,687.5,0.137599
1754017425183,695.31,0.491391
1754017425184,703.12,0.165215
1754017425184,710.94,0.350077
1754017425184,718.75,0.751251
1754017425184,726.56,0.446798
1754017425185,734.37,0.308617
1754017425185,742.19,0.388327
1754017425185,750.0,0.1251
1754017425185,757.81,0.121171
1754017425186,765.62,0.466732
1754017425186,773.44,3.789675
1754017425186,781.25,6.199618
1754017425187,789.06,2.671038
1754017425187,796.87,0.333033
1754017425187,804.69,0.209484
1754017425187,812.5,0.180768
1754017425188,820.31,0.40456
1754017425188,828.12,0.616342
1754017425188,835.94,0.574572
1754017425189,843.75,0.51209
1754017425189,851.56,0.374573
1754017425189,859.37,0.315049
1754017425190,867.19,0.136131
1754017425190,875.0,0.348723
1754017425190,882.81,0.725677
1754017425190,890.62,1.549662
1754017425191,898.44,5.010261
1754017425191,906.25,3.708309
1754017425191,914.06,0.56329
1754017425192,921.87,0.165238
1754017425192,929.69,0.209804
1754017425193,937.5,0.256706
1754017425193,945.31,0.70757
1754017425193,953.12,0.664495
1754017425194,960.94,0.15248
1754017425194,968.75,0.18464
1754017425194,976.56,0.283753
1754017425195,984.37,0.234901
1754017425195,992.19,0.273507
1754017425195,1000.0,0.132762
1754017425195,1007.81,0.647584
1754017425196,1015.62,3.916893
1754017425196,1023.44,4.20345
1754017425196,1031.25,1.023377
1754017425197,1039.06,0.116942
1754017425197,1046.88,0.337716
1754017425197,1054.69,0.012286
1754017425198,1062.5,0.161239
1754017425198,1070.31,0.165558
1754017425198,1078.13,0.195252
1754017425199,1085.94,0.19483
1754017425199,1093.75,0.209974
1754017425199,1101.56,0.251384
1754017425200,1109.38,0.347027
1754017425200,1117.19,0.158007
1754017425200,1125.0,0.113368
1754017425200,1132.81,1.917748
1754017425201,1140.63,3.641533
1754017425201,1148.44,1.776583
1754017425201,1156.25,0.343851
1754017425202,1164.06,0.207643
1754017425202,1171.88,0.365744
1754017425202,1179.69,0.587079
1754017425203,1187.5,0.432905
1754017425203,1195.31,0.33015
1754017425203,1203.13,0.261439
1754017425204,1210.94,0.111305
1754017425204,1218.75,0.253808
1754017425204,1226.56,0.577117
1754017425204,1234.38,0.765337
1754017425205,1242.19,0.287309
1754017425205,1250.0,0.576586
1754017425205,1257.81,2.704925
1754017425206,1265.63,2.615176
1754017425206,1273.44,0.955336
1754017425206,1281.25,0.371159
1754017425207,1289.06,0.064647
1754017425207,1296.88,0.23436
1754017425208,1304.69,0.114231
1754017425208,1312.5,0.206585
1754017425208,1320.31,0.307701
1754017425209,1328.13,0.220906
1754017425209,1335.94,0.161374
1754017425209,1343.75,0.144546
1754017425210,1351.56,0.113787
1754017425210,1359.38,0.16855
1754017425210,1367.19,0.344976
1754017425211,1375.0,1.708272
1754017425211,1382.81,1.996403
1754017425211,1390.63,0.453795
1754017425212,1398.44,0.236553
1754017425212,1406.25,0.199167
1754017425212,1414.06,0.389054
1754017425212,1421.88,0.439029
1754017425213,1429.69,0.18429
1754017425213,1437.5,0.396933
1754017425213,1445.31,0.206516
1754017425214,1453.13,0.307803
1754017425214,1460.94,0.239492
1754017425215,1468.75,0.167242
1754017425215,1476.56,0.133467
1754017425215,1484.38,0.195561
1754017425215,1492.19,0.623368
1754017425216,1500.0,1.571148
1754017425216,1507.81,1.045505
1754017425216,1515.63,0.524775
1754017425217,1523.44,0.441113
1754017425217,1531.25,0.293503
1754017425217,1539.06,0.079689
1754017425218,1546.88,0.222375
1754017425218,1554.69,0.290329
1754017425218,1562.5,0.08791
1754017425219,1570.31,0.276513
1754017425219,1578.13,0.267634
1754017425219,1585.94,0.322815
1754017425220,1593.75,0.147004
