timestamp_pc_ms,frequencia_hz,magnitude
1754017318547,1789.06,1.115505
1754017318547,1796.88,2.507467
1754017318548,1804.69,1.472128
1754017318548,1812.5,0.443076
1754017318548,1820.31,0.953643
1754017318548,1828.13,1.22256
1754017318549,1835.94,1.636302
1754017318549,1843.75,0.535643
1754017318549,1851.56,3.25136
1754017318550,1859.38,3.915606
1754017318550,1867.19,1.679172
1754017318550,1875.0,0.554567
1754017318550,1882.81,0.87378
1754017318551,1890.63,0.636595
1754017318741,7.81,2.437897
1754017318741,15.63,1.501765
1754017318742,23.44,1.14605
1754017318742,31.25,2.868307
1754017318742,39.06,2.510502
1754017318743,46.88,20.086429
1754017318743,54.69,127.810451
1754017318743,62.5,159.775843
1754017318744,70.31,49.638863
1754017318744,78.12,4.743418
1754017318744,85.94,3.079303
1754017318745,93.75,2.137111
1754017318745,101.56,1.576261
1754017318745,109.37,8.48111
1754017318746,117.19,25.535736
1754017318746,125.0,22.068131
1754017318746,132.81,3.895793
1754017318747,140.62,1.612844
1754017318747,148.44,1.030044
1754017318747,156.25,2.007816
1754017318747,164.06,2.271767
1754017318748,171.87,69.121494
1754017318748,179.69,143.159708
1754017318749,187.5,77.243859
1754017318749,195.31,4.054551
1754017318749,203.12,2.968609
1754017318749,210.94,1.888672
1754017318750,218.75,1.318439
1754017318750,226.56,3.286511
1754017318750,234.37,17.837017
1754017318751,242.19,23.517094
1754017318751,250.0,8.299181
1754017318751,257.81,1.226065
1754017318752,265.62,0.301059
1754017318752,273.44,1.945623
1754017318752,281.25,1.815635
1754017318753,289.06,25.648937
1754017318753,296.87,100.50105
1754017318753,304.69,88.892354
1754017318754,312.5,14.210374
1754017318754,320.31,3.746521
1754017318754,328.12,1.005744
1754017318755,335.94,1.374832
1754017318755,343.75,1.103029
1754017318755,351.56,9.761566
1754017318756,359.37,20.54071
1754017318756,367.19,11.87688
1754017318756,375.0,0.257878
1754017318756,382.81,0.283269
1754017318757,390.62,0.962312
1754017318757,398.44,1.045498
1754017318757,406.25,3.385374
1754017318758,414.06,48.253156
1754017318758,421.87,70.320025
1754017318758,429.69,23.971694
1754017318758,437.5,2.720593
1754017318759,445.31,0.51509
1754017318759,453.12,1.013215
1754017318759,460.94,0.407348
1754017318759,468.75,2.314377
1754017318760,476.56,12.737972
1754017318760,484.37,12.270804
1754017318760,492.19,1.633619
1754017318760,500.0,1.071022
1754017318761,507.81,0.589978
1754017318761,515.62,1.409994
1754017318761,523.44,2.589499
1754017318762,531.25,12.464911
1754017318762,539.06,34.721051
1754017318762,546.87,21.143708
1754017318762,554.69,2.187588
1754017318763,562.5,1.555234
1754017318763,570.31,0.685171
1754017318763,578.12,0.876312
1754017318763,585.94,0.979656
1754017318764,593.75,6.438201
1754017318764,601.56,10.588915
1754017318764,609.37,3.641134
1754017318764,617.19,1.737444
1754017318765,625.0,1.171643
1754017318765,632.81,1.2846
1754017318765,640.62,2.602504
1754017318765,648.44,2.622957
1754017318766,656.25,2.538681
1754017318766,664.06,5.218289
1754017318766,671.87,3.922115
1754017318766,679.69,2.767433
1754017318767,687.5,1.783493
1754017318767,695.31,1.486628
1754017318767,703.12,1.839676
1754017318767,710.94,1.310582
1754017318768,718.75,5.825122
1754017318768,726.56,3.915315
1754017318768,734.37,1.266664
1754017318768,742.19,1.204242
1754017318769,750.0,1.318916
1754017318769,757.81,2.03179
1754017318769,765.62,3.503644
1754017318769,773.44,12.796952
1754017318770,781.25,18.210753
1754017318770,789.06,8.303457
1754017318770,796.87,2.663085
1754017318770,804.69,2.09353
1754017318771,812.5,1.790029
1754017318771,820.31,2.183311
1754017318771,828.12,1.938423
1754017318771,835.94,2.163733
1754017318772,843.75,2.262704
1754017318772,851.56,1.149103
1754017318772,859.37,2.082427
1754017318773,867.19,1.645301
1754017318773,875.0,1.994931
1754017318773,882.81,1.332574
1754017318773,890.62,10.225557
1754017318774,898.44,25.401188
1754017318774,906.25,16.948998
1754017318774,914.06,2.68981
1754017318775,921.87,2.686443
1754017318775,929.69,1.633451
1754017318775,937.5,1.802201
1754017318775,945.31,1.840059
1754017318776,953.12,1.083788
1754017318776,960.94,0.53259
1754017318776,968.75,0.577032
