timestamp_pc_ms,frequencia_hz,magnitude
1754051352491,7.81,0.756435
1754051352492,15.63,0.632696
1754051352492,23.44,1.28837
1754051352492,31.25,3.235666
1754051352493,39.06,8.011338
1754051352493,46.88,45.034625
1754051352494,54.69,380.264359
1754051352494,62.5,486.554519
1754051352494,70.31,144.293804
1754051352495,78.12,13.858293
1754051352495,85.94,4.219438
1754051352496,93.75,2.118467
1754051352496,101.56,2.109726
1754051352497,109.37,15.159052
1754051352497,117.19,54.768024
1754051352497,125.0,46.055202
1754051352498,132.81,6.470862
1754051352498,140.62,1.142157
1754051352499,148.44,0.631719
1754051352499,156.25,0.094622
1754051352499,164.06,1.240058
1754051352500,171.87,71.299587
1754051352500,179.69,154.979074
1754051352501,187.5,83.971002
1754051352501,195.31,1.309579
1754051352502,203.12,0.844073
1754051352502,210.94,0.707582
1754051352502,218.75,0.662173
1754051352503,226.56,4.321216
1754051352503,234.37,42.641164
1754051352504,242.19,58.381942
1754051352504,250.0,18.556057
1754051352504,257.81,1.945809
1754051352505,265.62,0.823445
1754051352505,273.44,0.819719
1754051352506,281.25,1.796441
1754051352506,289.06,17.461035
1754051352507,296.87,72.004074
1754051352507,304.69,65.227867
1754051352507,312.5,10.971421
1754051352508,320.31,1.88129
1754051352508,328.12,0.259231
1754051352509,335.94,0.954987
1754051352509,343.75,0.49404
1754051352510,351.56,24.739636
1754051352510,359.37,57.564242
1754051352510,367.19,33.824442
1754051352511,375.0,1.52015
1754051352511,382.81,0.134851
1754051352512,390.62,0.289144
1754051352512,398.44,0.739819
1754051352512,406.25,2.050236
1754051352513,414.06,29.405111
1754051352513,421.87,44.100611
1754051352514,429.69,16.067642
1754051352514,437.5,1.192665
1754051352515,445.31,0.461507
1754051352515,453.12,0.55947
1754051352515,460.94,1.115514
1754051352516,468.75,9.799009
1754051352516,476.56,45.494409
1754051352517,484.37,44.289201
1754051352517,492.19,8.605124
1754051352517,500.0,1.040844
1754051352518,507.81,0.593013
1754051352518,515.62,0.603273
1754051352519,523.44,0.427953
1754051352519,531.25,8.320868
1754051352519,539.06,21.625252
1754051352520,546.87,13.721898
1754051352520,554.69,0.707193
1754051352521,562.5,0.709102
1754051352521,570.31,0.678622
1754051352521,578.12,0.060371
1754051352522,585.94,1.630377
1754051352522,593.75,28.676875
1754051352523,601.56,46.077406
1754051352523,609.37,18.307112
1754051352524,617.19,0.809669
1754051352524,625.0,0.637386
1754051352524,632.81,0.657207
1754051352525,640.62,0.184862
1754051352525,648.44,1.647554
1754051352526,656.25,6.685647
1754051352526,664.06,6.743965
1754051352527,671.87,1.293944
1754051352527,679.69,0.802719
1754051352527,687.5,0.35479
1754051352528,695.31,0.264268
1754051352528,703.12,1.009993
1754051352529,710.94,13.532113
1754051352529,718.75,38.515063
1754051352529,726.56,26.454548
1754051352530,734.37,1.943563
1754051352530,742.19,0.888911
1754051352531,750.0,0.123897
1754051352531,757.81,0.166123
1754051352531,765.62,0.223973
1754051352532,773.44,2.11905
1754051352532,781.25,3.75079
1754051352533,789.06,1.376713
1754051352533,796.87,0.754898
1754051352533,804.69,0.531537
1754051352534,812.5,0.458159
1754051352534,820.31,0.460299
1754051352535,828.12,4.649351
1754051352535,835.94,26.523264
1754051352536,843.75,30.107996
1754051352536,851.56,8.110522
1754051352537,859.37,0.976125
1754051352537,867.19,0.500201
1754051352537,875.0,0.44067
1754051352538,882.81,0.378073
1754051352538,890.62,3.372285
1754051352539,898.44,10.660055
1754051352539,906.25,8.251668
1754051352540,914.06,1.416537
1754051352540,921.87,0.136652
1754051352540,929.69,0.266876
1754051352541,937.5,0.176032
1754051352541,945.31,0.64366
1754051352542,953.12,13.842985
1754051352542,960.94,25.677234
1754051352542,968.75,12.418732
1754051352543,976.56,0.728676
1754051352543,984.37,0.517073
1754051352544,992.19,0.416391
1754051352544,1000.0,0.509561
1754051352545,1007.81,1.986865
1754051352545,1015.62,11.955318
1754051352545,1023.44,14.438369
1754051352546,1031.25,4.283099
1754051352546,1039.06,0.090791
1754051352547,1046.88,0.281489
1754051352547,1054.69,0.181502
1754051352548,1062.5,0.54618
1754051352548,1070.31,4.935328
1754051352549,1078.13,16.64037
1754051352549,1085.94,13.159587
1754051352550,1093.75,1.622464
1754051352550,1101.56,0.238779
1754051352551,1109.38,0.370678
1754051352551,1117.19,0.224318
1754051352551,1125.0,0.201643
1754051352552,1132.81,8.60457
1754051352552,1140.63,17.566564
1754051352553,1148.44,9.23148
1754051352553,1156.25,0.365233
1754051352554,1164.06,0.270818
1754051352554,1171.88,0.471726
1754051352554,1179.69,0.277006
1754051352555,1187.5,1.368723
1754051352555,1195.31,8.683825
1754051352556,1203.13,11.349999
1754051352556,1210.94,3.658834
1754051352557,1218.75,0.607532
1754051352557,1226.56,0.187521
1754051352557,1234.38,0.32501
1754051352558,1242.19,0.243503
1754051352558,1250.0,4.557437
1754051352559,1257.81,16.858997
1754051352559,1265.63,14.628811
1754051352560,1273.44,2.449694
1754051352560,1281.25,0.177924
1754051352560,1289.06,0.418318
1754051352561,1296.88,0.190398
1754051352561,1304.69,0.234636
1754051352562,1312.5,2.614062
1754051352562,1320.31,5.429029
1754051352563,1328.13,3.221641
1754051352563,1335.94,0.538502
1754051352563,1343.75,0.381115
1754051352564,1351.56,0.433378
