timestamp_pc_ms,frequencia_hz,magnitude
1754017536693,1804.69,0.206976
1754017536693,1812.5,0.064426
1754017536694,1820.31,0.3677
1754017536694,1828.13,0.23508
1754017536694,1835.94,0.101715
1754017536694,1843.75,0.22051
1754017536695,1851.56,0.437794
1754017536695,1859.38,0.166151
1754017536695,1867.19,0.551676
1754017536695,1875.0,0.680963
1754017536696,1882.81,0.269684
1754017536696,1890.63,0.105803
1754017536696,1898.44,0.181651
1754017536768,7.81,3.624733
1754017536768,15.63,0.461976
1754017536769,23.44,0.298605
1754017536769,31.25,1.280397
1754017536769,39.06,3.294708
1754017536770,46.88,17.128998
1754017536770,54.69,146.061917
1754017536771,62.5,186.831292
1754017536771,70.31,55.342006
1754017536771,78.12,5.14577
1754017536772,85.94,1.602174
1754017536772,93.75,0.874283
1754017536772,101.56,0.255443
1754017536773,109.37,0.296515
1754017536773,117.19,0.170508
1754017536773,125.0,0.405672
1754017536774,132.81,0.276205
1754017536774,140.62,0.316303
1754017536774,148.44,0.063388
1754017536775,156.25,0.247653
1754017536775,164.06,0.218476
1754017536775,171.87,1.018782
1754017536776,179.69,2.210665
1754017536776,187.5,1.182584
1754017536776,195.31,0.186312
1754017536776,203.12,0.327918
1754017536777,210.94,0.23906
1754017536777,218.75,0.031834
1754017536777,226.56,0.368722
1754017536778,234.37,0.531542
1754017536778,242.19,0.628696
1754017536778,250.0,0.507837
1754017536779,257.81,0.355583
1754017536779,265.62,0.309363
1754017536779,273.44,0.300423
1754017536780,281.25,0.312165
1754017536780,289.06,0.399243
1754017536780,296.87,2.075165
1754017536781,304.69,2.013596
1754017536781,312.5,0.64728
1754017536781,320.31,0.304784
1754017536781,328.12,0.171426
1754017536782,335.94,0.09631
1754017536782,343.75,0.122565
1754017536782,351.56,0.00909
1754017536783,359.37,0.293971
1754017536783,367.19,0.307066
1754017536783,375.0,0.171727
1754017536783,382.81,0.367687
1754017536784,390.62,0.498435
1754017536784,398.44,0.141722
1754017536784,406.25,0.330376
1754017536784,414.06,1.473697
1754017536785,421.87,1.871316
1754017536785,429.69,0.740303
1754017536785,437.5,0.159003
1754017536786,445.31,0.426899
1754017536786,453.12,0.416745
1754017536786,460.94,0.196012
1754017536786,468.75,0.205406
1754017536786,476.56,0.312585
1754017536787,484.37,0.392532
1754017536787,492.19,0.323458
1754017536787,500.0,0.264336
1754017536788,507.81,0.161319
1754017536788,515.62,0.138016
1754017536788,523.44,0.136654
1754017536788,531.25,0.333628
1754017536789,539.06,0.56414
1754017536789,546.87,0.519245
1754017536789,554.69,0.102528
1754017536789,562.5,0.288302
1754017536790,570.31,0.055865
1754017536790,578.12,0.449281
1754017536790,585.94,0.161566
1754017536790,593.75,0.30379
1754017536791,601.56,0.295493
1754017536791,609.37,0.421034
1754017536791,617.19,0.094731
1754017536791,625.0,0.172962
1754017536792,632.81,0.211814
1754017536792,640.62,0.2511
1754017536792,648.44,0.150136
1754017536792,656.25,0.169619
1754017536793,664.06,0.27555
1754017536793,671.87,0.332756
1754017536793,679.69,0.278538
1754017536793,687.5,0.030053
1754017536793,695.31,0.185153
1754017536794,703.12,0.083712
1754017536794,710.94,0.193912
1754017536794,718.75,0.32002
1754017536795,726.56,0.175827
1754017536795,734.37,0.18543
1754017536795,742.19,0.257673
1754017536795,750.0,0.059928
1754017536796,757.81,0.15711
1754017536796,765.62,0.021474
1754017536796,773.44,0.282863
1754017536796,781.25,0.370459
1754017536796,789.06,0.106153
1754017536797,796.87,0.286839
1754017536797,804.69,0.313651
1754017536797,812.5,0.045447
1754017536797,820.31,0.077649
1754017536798,828.12,0.095746
1754017536798,835.94,0.17474
1754017536798,843.75,0.386602
1754017536798,851.56,0.169765
1754017536799,859.37,0.136882
1754017536799,867.19,0.175457
1754017536799,875.0,0.170261
1754017536799,882.81,0.06821
1754017536800,890.62,0.20149
1754017536800,898.44,0.581427
1754017536800,906.25,0.36836
1754017536800,914.06,0.196791
1754017536801,921.87,0.340588
1754017536801,929.69,0.17877
1754017536801,937.5,0.265068
1754017536801,945.31,0.539486
1754017536802,953.12,0.421735
1754017536802,960.94,0.232872
1754017536802,968.75,0.309238
1754017536803,976.56,0.27726
1754017536803,984.37,0.101761
1754017536803,992.19,0.494523
1754017536803,1000.0,0.490505
1754017536804,1007.81,0.214689
1754017536804,1015.62,0.415196
1754017536804,1023.44,0.48141
1754017536804,1031.25,0.260497
1754017536805,1039.06,0.77509
1754017536805,1046.88,0.579467
1754017536805,1054.69,0.371871
1754017536805,1062.5,0.466545
1754017536806,1070.31,0.374146
1754017536806,1078.13,0.244702
1754017536806,1085.94,0.411255
1754017536806,1093.75,0.410996
1754017536807,1101.56,0.247213
1754017536807,1109.38,0.13994
1754017536807,1117.19,0.232587
1754017536807,1125.0,0.307042
1754017536808,1132.81,0.240336
1754017536808,1140.63,0.122284
1754017536808,1148.44,0.164757
1754017536809,1156.25,0.278016
1754017536809,1164.06,0.253181
1754017536809,1171.88,0.334482
1754017536809,1179.69,0.378747
1754017536810,1187.5,0.207548
1754017536810,1195.31,0.3675
1754017536810,1203.13,0.296003
1754017536810,1210.94,0.158696
1754017536811,1218.75,0.275453
1754017536811,1226.56,0.347657
1754017536811,1234.38,0.152249
1754017536811,1242.19,0.118515
1754017536812,1250.0,0.360767
1754017536812,1257.81,0.673017
1754017536812,1265.63,0.560298
1754017536812,1273.44,0.420539
1754017536813,1281.25,0.108645
1754017536813,1289.06,0.285336
1754017536813,1296.88,0.143595
1754017536813,1304.69,0.296371
1754017536814,1312.5,0.436712
1754017536814,1320.31,0.173894
1754017536814,1328.13,0.544952
1754017536814,1335.94,0.339495
1754017536815,1343.75,0.319265
1754017536815,1351.56,0.371285
1754017536815,1359.38,0.378515
1754017536815,1367.19,0.178507
1754017536816,1375.0,0.198274
1754017536816,1382.81,0.25678
1754017536816,1390.63,0.157158
1754017536816,1398.44,0.256843
1754017536817,1406.25,0.180723
1754017536817,1414.06,0.306714
1754017536817,1421.88,0.32684
1754017536817,1429.69,0.207815
1754017536818,1437.5,0.082605
1754017536818,1445.31,0.208563
1754017536818,1453.13,0.295036
1754017536818,1460.94,0.200719
1754017536819,1468.75,0.118335
1754017536819,1476.56,0.217997
1754017536819,1484.38,0.356328
1754017536819,1492.19,0.417807
1754017536820,1500.0,0.410572
1754017536820,1507.81,0.332204
1754017536820,1515.63,0.228444
1754017536820,1523.44,0.245089
1754017536821,1531.25,0.370823
1754017536821,1539.06,0.418129
1754017536821,1546.88,0.278037
1754017536821,1554.69,0.260839
1754017536822,1562.5,0.485864
1754017536822,1570.31,0.48145
1754017536822,1578.13,0.067815
1754017536822,1585.94,0.422495
1754017536823,1593.75,0.446313
1754017536823,1601.56,0.18514
1754017536823,1609.38,0.288805
1754017536823,1617.19,0.262035
1754017536824,1625.0,0.410436
1754017536824,1632.81,0.5861
1754017536824,1640.63,0.517639
1754017536824,1648.44,0.434577
1754017536825,1656.25,0.386537
1754017536825,1664.06,0.199332
1754017536825,1671.88,0.214953
1754017536826,1679.69,0.323189
1754017536826,1687.5,0.252632
1754017536826,1695.31,0.350169
1754017536826,1703.13,0.38367
1754017536827,1710.94,0.251502
1754017536827,1718.75,0.178278
1754017536827,1726.56,0.119442
1754017536827,1734.38,0.15642
1754017536828,1742.19,0.072713
1754017536828,1750.0,0.090879
1754017536828,1757.81,0.091479
1754017536828,1765.63,0.210731
1754017536829,1773.44,0.334106
1754017536829,1781.25,0.376308
1754017536829,1789.06,0.28048
1754017536829,1796.88,0.274782
1754017536830,1804.69,0.332919
1754017536830,1812.5,0.428173
1754017536830,1820.31,0.150018
1754017536830,1828.13,0.149106
1754017536831,1835.94,0.269145
1754017536831,1843.75,0.257275
1754017536831,1851.56,0.462927
1754017536831,1859.38,0.578663
1754017536832,1867.19,0.363472
1754017536832,1875.0,0.188008
1754017536832,1882.81,0.199409
1754017536832,1890.63,0.192327
1754017536833,1898.44,0.267602
1754017536833,1906.25,0.345943
1754017536833,1914.06,0.130456
1754017536833,1921.88,0.260858
1754017536834,1929.69,0.280313
1754017536834,1937.5,0.259651
1754017536834,1945.31,0.510132
1754017536834,1953.13,0.500819
1754017536835,1960.94,0.200517
1754017536835,1968.75,0.346174
1754017536835,1976.56,0.139459
1754017536835,1984.38,0.435953
1754017536836,1992.19,0.293905
1754017536836,2000.0,0.272835
1754017536836,2007.81,0.371765
1754017536836,2015.63,0.276246
1754017536837,2023.44,0.024438
1754017536837,2031.25,0.040327
1754017536837,2039.06,0.069178
1754017536837,2046.88,0.100849
1754017536838,2054.69,0.246893
1754017536838,2062.5,0.101538
1754017536838,2070.31,0.177746
1754017536838,2078.13,0.345867
1754017536839,2085.94,0.355808
1754017536839,2093.75,0.052812
1754017536839,2101.56,0.222859
1754017536839,2109.38,0.140124
1754017536840,2117.19,0.101852
1754017536840,2125.0,0.247504
1754017536840,2132.81,0.213601
1754017536840,2140.63,0.302139
1754017536841,2148.44,0.264344
1754017536841,2156.25,0.245503
1754017536841,2164.06,0.427219
1754017536841,2171.88,0.447901
1754017536842,2179.69,0.167346
1754017536842,2187.5,0.206391
1754017536842,2195.31,0.293591
1754017536842,2203.13,0.148556
1754017536843,2210.94,0.199492
1754017536843,2218.75,0.190283
1754017536843,2226.56,0.095333
1754017536843,2234.38,0.122601
1754017536844,2242.19,0.314218
1754017536844,2250.0,0.213092
1754017536844,2257.81,0.362386
1754017536844,2265.63,0.44733
1754017536845,2273.44,0.331165
1754017536845,2281.25,0.051245
1754017536845,2289.06,0.207453
1754017536845,2296.88,0.356008
1754017536846,2304.69,0.36497
1754017536846,2312.5,0.185374
1754017536846,2320.31,0.119601
1754017536846,2328.13,0.229468
1754017536847,2335.94,0.121363
1754017536847,2343.75,0.100888
1754017536847,2351.56,0.172845
1754017536847,2359.38,0.24199
1754017536848,2367.19,0.208124
1754017536848,2375.0,0.247202
1754017536848,2382.81,0.505205
1754017536848,2390.63,0.444843
1754017536848,2398.44,0.195642
1754017536849,2406.25,0.169009
1754017536849,2414.06,0.214714
1754017536849,2421.88,0.291473
1754017536849,2429.69,0.39356
1754017536850,2437.5,0.28556
1754017536850,2445.31,0.338292
1754017536850,2453.13,0.417861
1754017536850,2460.94,0.316183
1754017536851,2468.75,0.11534
1754017536851,2476.56,0.347998
1754017536851,2484.38,0.072326
1754017536851,2492.19,0.186113
1754017536852,2500.0,0.226054
1754017536852,2507.81,0.35448
1754017536852,2515.63,0.040212
1754017536852,2523.44,0.152863
1754017536853,2531.25,0.041338
1754017536853,2539.06,0.07916
1754017536853,2546.88,0.088584
1754017536853,2554.69,0.238851
1754017536854,2562.5,0.434659
1754017536854,2570.31,0.334368
1754017536854,2578.13,0.313613
1754017536854,2585.94,0.193612
1754017536855,2593.75,0.097775
1754017536855,2601.56,0.251603
1754017536855,2609.38,0.319648
1754017536855,2617.19,0.192182
1754017536856,2625.0,0.023228
1754017536856,2632.81,0.068151
1754017536856,2640.63,0.077317
1754017536856,2648.44,0.384083
1754017536856,2656.25,0.550984
1754017536857,2664.06,0.46128
1754017536857,2671.88,0.105009
1754017536857,2679.69,0.104366
1754017536857,2687.5,0.226039
1754017536858,2695.31,0.478153
1754017536858,2703.13,0.280249
1754017536858,2710.94,0.234922
1754017536858,2718.75,0.444648
