timestamp_pc_ms,frequencia_hz,magnitude
1754019270320,7.81,10.990589
1754019270320,15.63,0.871256
1754019270321,23.44,1.531024
1754019270321,31.25,3.009101
1754019270321,39.06,7.677033
1754019270322,46.88,42.883547
1754019270322,54.69,354.051433
1754019270323,62.5,449.654318
1754019270323,70.31,132.011183
1754019270324,78.12,12.478629
1754019270324,85.94,3.319676
1754019270324,93.75,1.736195
1754019270325,101.56,2.895661
1754019270325,109.37,28.517655
1754019270326,117.19,105.205276
1754019270326,125.0,85.764711
1754019270326,132.81,11.329285
1754019270327,140.62,2.260511
1754019270327,148.44,0.643071
1754019270328,156.25,0.65895
1754019270328,164.06,0.713081
1754019270328,171.87,29.175326
1754019270329,179.69,61.450307
1754019270329,187.5,32.299979
1754019270330,195.31,0.62096
1754019270330,203.12,0.594536
1754019270330,210.94,0.572755
1754019270331,218.75,1.150239
1754019270331,226.56,3.076271
1754019270332,234.37,32.932777
1754019270332,242.19,43.615523
1754019270333,250.0,13.557824
1754019270333,257.81,0.804767
1754019270333,265.62,0.646029
1754019270334,273.44,0.434434
1754019270334,281.25,0.514936
1754019270335,289.06,7.273258
1754019270335,296.87,25.391536
1754019270335,304.69,21.267243
1754019270336,312.5,2.974197
1754019270336,320.31,0.908514
1754019270337,328.12,0.321974
1754019270337,335.94,0.061649
1754019270338,343.75,0.192617
1754019270338,351.56,4.567362
1754019270339,359.37,11.051631
1754019270339,367.19,6.514202
1754019270339,375.0,0.179133
1754019270340,382.81,0.45058
1754019270340,390.62,0.530874
1754019270341,398.44,0.53266
1754019270341,406.25,1.892835
1754019270342,414.06,14.889888
1754019270342,421.87,20.002492
1754019270342,429.69,6.537056
1754019270343,437.5,0.387505
1754019270343,445.31,0.032129
1754019270344,453.12,0.19693
1754019270344,460.94,0.64511
1754019270344,468.75,4.90143
1754019270345,476.56,20.588456
1754019270345,484.37,18.46816
1754019270346,492.19,2.812504
1754019270346,500.0,0.707452
1754019270347,507.81,0.441518
1754019270347,515.62,0.092481
1754019270347,523.44,0.426979
1754019270348,531.25,1.183834
1754019270348,539.06,1.22288
1754019270349,546.87,0.444694
1754019270349,554.69,0.255209
1754019270349,562.5,0.399414
1754019270350,570.31,0.354242
1754019270350,578.12,0.417842
1754019270351,585.94,0.282628
1754019270351,593.75,2.970741
1754019270352,601.56,4.983506
1754019270352,609.37,1.820709
1754019270352,617.19,0.465868
1754019270353,625.0,0.383593
1754019270353,632.81,0.159146
1754019270354,640.62,0.26647
1754019270354,648.44,0.078582
1754019270355,656.25,1.802808
1754019270355,664.06,2.048822
1754019270355,671.87,0.409964
1754019270356,679.69,0.287651
1754019270356,687.5,0.186738
1754019270357,695.31,0.183923
1754019270357,703.12,0.412626
1754019270357,710.94,1.967163
1754019270358,718.75,5.423319
1754019270358,726.56,2.894189
1754019270359,734.37,0.781664
1754019270359,742.19,0.578727
1754019270360,750.0,0.229202
1754019270360,757.81,0.293176
1754019270360,765.62,0.115436
1754019270361,773.44,3.405997
1754019270361,781.25,5.92699
1754019270362,789.06,2.542123
1754019270362,796.87,0.019924
1754019270363,804.69,0.067861
1754019270363,812.5,0.174416
1754019270363,820.31,0.079063
1754019270364,828.12,0.537135
1754019270364,835.94,2.570747
1754019270365,843.75,2.563153
1754019270365,851.56,0.36022
1754019270366,859.37,0.539551
1754019270366,867.19,0.309907
1754019270366,875.0,0.272964
1754019270367,882.81,0.012686
1754019270367,890.62,1.388153
1754019270368,898.44,3.288644
1754019270368,906.25,2.216492
1754019270368,914.06,0.311928
1754019270369,921.87,0.163718
1754019270369,929.69,0.171957
1754019270370,937.5,0.288501
1754019270370,945.31,0.352476
1754019270370,953.12,0.655495
1754019270371,960.94,0.880144
1754019270371,968.75,0.588359
1754019270372,976.56,0.274656
1754019270372,984.37,0.076304
1754019270373,992.19,0.238259
1754019270373,1000.0,0.347332
1754019270373,1007.81,0.382873
1754019270374,1015.62,1.653218
1754019270374,1023.44,1.739795
1754019270375,1031.25,0.495681
1754019270375,1039.06,0.433596
1754019270376,1046.88,0.370732
1754019270376,1054.69,0.292243
1754019270377,1062.5,0.408488
1754019270377,1070.31,0.443957
1754019270377,1078.13,0.695249
1754019270378,1085.94,0.895576
1754019270378,1093.75,0.16298
1754019270379,1101.56,0.060523
1754019270379,1109.38,0.140404
1754019270380,1117.19,0.159552
1754019270380,1125.0,0.300327
1754019270381,1132.81,2.118709
1754019270381,1140.63,3.343558
1754019270381,1148.44,1.518111
1754019270382,1156.25,0.046591
1754019270382,1164.06,0.176664
1754019270383,1171.88,0.112432
1754019270383,1179.69,0.114297
1754019270383,1187.5,0.381065
1754019270384,1195.31,1.413996
1754019270384,1203.13,1.4951
1754019270385,1210.94,0.446247
1754019270385,1218.75,0.410181
1754019270386,1226.56,0.422149
1754019270386,1234.38,0.210733
1754019270387,1242.19,0.225609
1754019270387,1250.0,0.39482
1754019270387,1257.81,1.05885
1754019270388,1265.63,0.680697
1754019270388,1273.44,0.23808
1754019270389,1281.25,0.304199
1754019270389,1289.06,0.18466
1754019270390,1296.88,0.308366
1754019270390,1304.69,0.296498
1754019270391,1312.5,0.214343
1754019270391,1320.31,0.383611
1754019270392,1328.13,0.350625
1754019270392,1335.94,0.147537
1754019270392,1343.75,0.116296
1754019270393,1351.56,0.126611
1754019270393,1359.38,0.039362
1754019270394,1367.19,0.078516
1754019270394,1375.0,0.912764
1754019270395,1382.81,1.216652
1754019270395,1390.63,0.750497
1754019270395,1398.44,0.471506
1754019270396,1406.25,0.104961
1754019270396,1414.06,0.199337
1754019270397,1421.88,0.219921
1754019270397,1429.69,0.578042
1754019270398,1437.5,2.065226
1754019270398,1445.31,1.514775
1754019270398,1453.13,0.18503
1754019270399,1460.94,0.154562
1754019270399,1468.75,0.238378
1754019270400,1476.56,0.098621
1754019270400,1484.38,0.171146
1754019270400,1492.19,0.409352
1754019270401,1500.0,0.580655
1754019270401,1507.81,0.39347
1754019270402,1515.63,0.206361
1754019270402,1523.44,0.135129
1754019270403,1531.25,0.231262
1754019270403,1539.06,0.329555
1754019270404,1546.88,0.429713
1754019270404,1554.69,0.921924
1754019270405,1562.5,1.33745
1754019270405,1570.31,0.652551
1754019270406,1578.13,0.30613
1754019270406,1585.94,0.13591
1754019270407,1593.75,0.202831
1754019270407,1601.56,0.294744
1754019270408,1609.38,0.563254
1754019270408,1617.19,0.687598
1754019270409,1625.0,0.27314
1754019270409,1632.81,0.397502
1754019270410,1640.63,0.32359
1754019270410,1648.44,0.119392
1754019270411,1656.25,0.256583
1754019270411,1664.06,0.116303
1754019270411,1671.88,0.484634
