timestamp_pc_ms,frequencia_hz,magnitude
1754018101056,1804.69,3.550946
1754018101056,1812.5,2.464308
1754018101057,1820.31,2.216398
1754018101057,1828.13,0.495525
1754018101057,1835.94,0.903497
1754018101057,1843.75,1.98827
1754018101058,1851.56,4.558371
1754018101058,1859.38,7.817499
1754018101058,1867.19,4.667082
1754018101059,1875.0,1.672165
1754018101059,1882.81,1.048383
1754018101059,1890.63,0.328435
1754018101059,1898.44,0.967349
1754018101234,7.81,2.73471
1754018101234,15.63,0.71866
1754018101235,23.44,1.627558
1754018101235,31.25,2.648488
1754018101235,39.06,8.57102
1754018101236,46.88,45.005678
1754018101236,54.69,378.826163
1754018101237,62.5,482.361951
1754018101237,70.31,141.717284
1754018101238,78.12,13.94441
1754018101238,85.94,4.107925
1754018101238,93.75,1.944361
1754018101239,101.56,2.490512
1754018101239,109.37,11.900534
1754018101240,117.19,45.632107
1754018101240,125.0,38.554397
1754018101241,132.81,5.63067
1754018101241,140.62,1.076352
1754018101241,148.44,0.348864
1754018101242,156.25,0.847933
1754018101242,164.06,0.56217
1754018101243,171.87,73.997179
1754018101243,179.69,157.233912
1754018101244,187.5,83.653359
1754018101244,195.31,1.278475
1754018101244,203.12,0.322187
1754018101245,210.94,0.385728
1754018101245,218.75,1.044221
1754018101246,226.56,3.620688
1754018101246,234.37,36.648536
1754018101246,242.19,49.439171
1754018101247,250.0,15.713152
1754018101247,257.81,1.716055
1754018101247,265.62,1.011123
1754018101248,273.44,0.953153
1754018101248,281.25,2.138374
1754018101249,289.06,18.65964
1754018101249,296.87,75.910845
1754018101249,304.69,67.017593
1754018101250,312.5,10.427391
1754018101250,320.31,1.761055
1754018101250,328.12,0.616241
1754018101250,335.94,0.35897
1754018101251,343.75,0.757458
1754018101251,351.56,21.537596
1754018101251,359.37,48.992448
1754018101252,367.19,27.353593
1754018101252,375.0,0.837575
1754018101252,382.81,1.068859
1754018101252,390.62,0.422242
1754018101253,398.44,0.249485
1754018101253,406.25,3.488776
1754018101253,414.06,34.423461
1754018101254,421.87,48.797449
1754018101254,429.69,16.598077
1754018101254,437.5,1.42051
1754018101255,445.31,0.146908
1754018101255,453.12,0.661109
1754018101255,460.94,0.697929
1754018101255,468.75,9.604446
1754018101256,476.56,40.323772
1754018101256,484.37,37.374344
1754018101256,492.19,6.527074
1754018101257,500.0,1.521076
1754018101257,507.81,0.9154
1754018101257,515.62,0.489201
1754018101258,523.44,0.613686
1754018101258,531.25,11.27326
1754018101258,539.06,28.139099
1754018101258,546.87,17.082418
1754018101259,554.69,0.893169
1754018101259,562.5,0.745181
1754018101259,570.31,0.257206
1754018101260,578.12,0.74916
1754018101260,585.94,1.536124
1754018101260,593.75,26.564481
1754018101261,601.56,40.447311
1754018101261,609.37,14.887017
1754018101261,617.19,0.956392
1754018101262,625.0,0.369845
1754018101262,632.81,0.591395
1754018101262,640.62,0.426803
1754018101262,648.44,3.04616
1754018101263,656.25,12.560793
1754018101263,664.06,12.121455
1754018101263,671.87,2.410308
1754018101264,679.69,0.953908
1754018101264,687.5,0.577874
1754018101264,695.31,0.568425
1754018101264,703.12,0.744121
1754018101265,710.94,13.385788
1754018101265,718.75,34.683484
1754018101265,726.56,22.189673
1754018101266,734.37,1.13369
1754018101266,742.19,0.928627
1754018101266,750.0,0.369936
1754018101267,757.81,0.267742
1754018101267,765.62,0.500776
1754018101267,773.44,3.017242
1754018101267,781.25,4.234353
1754018101268,789.06,1.551187
1754018101268,796.87,0.461187
1754018101268,804.69,1.063346
1754018101268,812.5,0.417833
1754018101269,820.31,0.978364
1754018101269,828.12,4.700414
1754018101269,835.94,24.68996
1754018101270,843.75,25.622568
1754018101270,851.56,5.682789
1754018101270,859.37,0.894933
1754018101271,867.19,0.344228
1754018101271,875.0,0.593909
1754018101271,882.81,0.384811
1754018101271,890.62,0.87744
1754018101272,898.44,2.214095
1754018101272,906.25,1.494392
1754018101272,914.06,0.443099
1754018101273,921.87,0.262266
1754018101273,929.69,0.14262
1754018101273,937.5,0.53929
1754018101273,945.31,0.705058
1754018101274,953.12,14.074942
1754018101274,960.94,23.78585
1754018101274,968.75,9.949514
1754018101275,976.56,0.652925
1754018101275,984.37,0.169686
1754018101275,992.19,0.25841
1754018101276,1000.0,0.861595
1754018101276,1007.81,0.643707
1754018101276,1015.62,5.707531
1754018101277,1023.44,6.440295
1754018101277,1031.25,1.382968
1754018101277,1039.06,0.861117
1754018101278,1046.88,0.467167
1754018101278,1054.69,0.48206
1754018101278,1062.5,0.660862
1754018101278,1070.31,5.662389
1754018101279,1078.13,17.055716
1754018101279,1085.94,12.164809
1754018101279,1093.75,1.164035
1754018101280,1101.56,0.458985
1754018101280,1109.38,0.502968
1754018101280,1117.19,0.357291
1754018101281,1125.0,0.824513
1754018101281,1132.81,5.669667
1754018101281,1140.63,9.636206
1754018101281,1148.44,4.304867
1754018101282,1156.25,0.293499
1754018101282,1164.06,0.294152
1754018101282,1171.88,0.187995
1754018101283,1179.69,0.391798
1754018101283,1187.5,1.145908
1754018101283,1195.31,9.395013
1754018101284,1203.13,11.183304
1754018101284,1210.94,2.856222
1754018101284,1218.75,0.336818
1754018101285,1226.56,0.307433
1754018101285,1234.38,0.296681
1754018101285,1242.19,0.658075
1754018101286,1250.0,2.854026
1754018101286,1257.81,9.561727
1754018101286,1265.63,7.233565
1754018101287,1273.44,0.799632
1754018101287,1281.25,0.19364
1754018101287,1289.06,0.190404
1754018101287,1296.88,0.368509
1754018101288,1304.69,0.604091
1754018101288,1312.5,4.009672
1754018101288,1320.31,8.091335
1754018101289,1328.13,3.760465
1754018101289,1335.94,0.152464
1754018101289,1343.75,0.172967
1754018101290,1351.56,0.24135
1754018101290,1359.38,0.393957
1754018101290,1367.19,0.701542
1754018101291,1375.0,7.101568
1754018101291,1382.81,9.054045
1754018101291,1390.63,2.644146
1754018101292,1398.44,0.17623
1754018101292,1406.25,0.438231
1754018101292,1414.06,0.331432
1754018101292,1421.88,0.321136
1754018101293,1429.69,1.025319
1754018101293,1437.5,4.491459
1754018101293,1445.31,3.704845
1754018101294,1453.13,0.471064
1754018101294,1460.94,0.444489
1754018101294,1468.75,0.284784
1754018101295,1476.56,0.070684
1754018101295,1484.38,0.314449
1754018101295,1492.19,4.052416
1754018101296,1500.0,8.481371
1754018101296,1507.81,4.471409
1754018101296,1515.63,0.24522
1754018101297,1523.44,0.074427
1754018101297,1531.25,0.314715
1754018101297,1539.06,0.463187
1754018101297,1546.88,0.720462
1754018101298,1554.69,2.347522
1754018101298,1562.5,2.533207
1754018101298,1570.31,0.728336
1754018101299,1578.13,0.431535
1754018101299,1585.94,0.201204
1754018101299,1593.75,0.387492
1754018101300,1601.56,0.297611
1754018101300,1609.38,1.823129
1754018101300,1617.19,6.708142
1754018101301,1625.0,5.375597
1754018101301,1632.81,0.202085
1754018101301,1640.63,0.64199
1754018101302,1648.44,0.102128
1754018101302,1656.25,0.148084
1754018101302,1664.06,0.427332
1754018101303,1671.88,0.771625
1754018101303,1679.69,2.171839
1754018101303,1687.5,1.225775
1754018101303,1695.31,0.335238
1754018101304,1703.13,0.234602
1754018101304,1710.94,0.15454
1754018101304,1718.75,0.223729
1754018101305,1726.56,0.626493
1754018101305,1734.38,4.082934
1754018101305,1742.19,5.580654
1754018101306,1750.0,1.83851
1754018101306,1757.81,0.424823
1754018101306,1765.63,0.1586
1754018101306,1773.44,0.262242
1754018101307,1781.25,0.388505
1754018101307,1789.06,1.079077
1754018101307,1796.88,2.548027
1754018101308,1804.69,2.065837
1754018101308,1812.5,0.368238
1754018101308,1820.31,0.130223
1754018101309,1828.13,0.168628
1754018101309,1835.94,0.3584
1754018101309,1843.75,0.457091
1754018101310,1851.56,1.834185
1754018101310,1859.38,4.372816
1754018101310,1867.19,2.327357
1754018101310,1875.0,0.310275
1754018101311,1882.81,0.258299
1754018101311,1890.63,0.105401
1754018101311,1898.44,0.298936
1754018101312,1906.25,0.066202
1754018101312,1914.06,2.093414
1754018101312,1921.88,2.929409
1754018101313,1929.69,0.989649
1754018101313,1937.5,0.485614
1754018101313,1945.31,0.534684
1754018101314,1953.13,0.344149
1754018101314,1960.94,0.17777
1754018101314,1968.75,0.552024
1754018101314,1976.56,2.380737
1754018101315,1984.38,2.054285
1754018101315,1992.19,0.715091
1754018101315,2000.0,0.957798
1754018101315,2007.81,0.270158
1754018101316,2015.63,0.189182
1754018101316,2023.44,0.175722
1754018101316,2031.25,1.134012
1754018101316,2039.06,2.724226
1754018101317,2046.88,1.320394
1754018101317,2054.69,0.579583
1754018101317,2062.5,0.265238
1754018101317,2070.31,0.366694
1754018101318,2078.13,0.216743
1754018101318,2085.94,0.037965
1754018101318,2093.75,1.097201
1754018101318,2101.56,1.718641
