timestamp_pc_ms,frequencia_hz,magnitude
1754018499373,1804.69,0.174977
1754018499373,1812.5,0.094803
1754018499373,1820.31,0.307471
1754018499374,1828.13,0.072527
1754018499374,1835.94,0.360362
1754018499374,1843.75,0.430297
1754018499374,1851.56,0.33637
1754018499375,1859.38,0.270645
1754018499375,1867.19,0.335562
1754018499375,1875.0,0.713745
1754018499375,1882.81,0.541975
1754018499376,1890.63,0.378166
1754018499376,1898.44,0.242307
1754018499376,1906.25,0.342857
1754018499568,7.81,0.622541
1754018499569,15.63,0.354096
1754018499569,23.44,0.076305
1754018499569,31.25,0.46681
1754018499570,39.06,0.260697
1754018499570,46.88,3.073125
1754018499570,54.69,23.704142
1754018499571,62.5,29.871654
1754018499571,70.31,8.568917
1754018499571,78.12,1.05598
1754018499571,85.94,0.183421
1754018499572,93.75,0.276746
1754018499572,101.56,0.111533
1754018499572,109.37,0.035449
1754018499573,117.19,0.443172
1754018499573,125.0,0.161928
1754018499573,132.81,0.409604
1754018499574,140.62,0.33549
1754018499574,148.44,0.417173
1754018499574,156.25,0.429464
1754018499575,164.06,0.232137
1754018499575,171.87,3.821102
1754018499575,179.69,7.237764
1754018499576,187.5,3.782245
1754018499576,195.31,0.441536
1754018499576,203.12,0.249508
1754018499577,210.94,0.110498
1754018499577,218.75,0.090431
1754018499577,226.56,0.266358
1754018499578,234.37,0.146733
1754018499578,242.19,0.048912
1754018499578,250.0,0.409146
1754018499579,257.81,0.539259
1754018499579,265.62,0.582572
1754018499580,273.44,0.36877
1754018499580,281.25,0.275334
1754018499580,289.06,1.020339
1754018499581,296.87,4.296448
1754018499581,304.69,3.590518
1754018499581,312.5,0.423706
1754018499581,320.31,0.166448
1754018499582,328.12,0.124569
1754018499582,335.94,0.224075
1754018499582,343.75,0.44665
1754018499583,351.56,0.016279
1754018499583,359.37,0.514086
1754018499583,367.19,0.392909
1754018499584,375.0,0.058589
1754018499584,382.81,0.280169
1754018499584,390.62,0.477682
1754018499584,398.44,0.603489
1754018499585,406.25,0.969404
1754018499585,414.06,4.156611
1754018499585,421.87,5.548732
1754018499585,429.69,2.051092
1754018499586,437.5,0.656811
1754018499586,445.31,0.464118
1754018499586,453.12,0.193362
1754018499586,460.94,0.29011
1754018499587,468.75,0.308421
1754018499587,476.56,0.136521
1754018499587,484.37,0.192287
1754018499587,492.19,0.009153
1754018499587,500.0,0.427893
1754018499588,507.81,0.54792
1754018499588,515.62,0.363627
1754018499588,523.44,0.106827
1754018499588,531.25,6.203413
1754018499589,539.06,13.973301
1754018499589,546.87,7.750857
1754018499589,554.69,0.178384
1754018499589,562.5,0.397066
