timestamp_pc_ms,frequencia_hz,magnitude
1754018040909,1773.44,0.222841
1754018040910,1781.25,0.310879
1754018040910,1789.06,0.885317
1754018040910,1796.88,6.144804
1754018040910,1804.69,6.736053
1754018040911,1812.5,1.295349
1754018040911,1820.31,0.731765
1754018040911,1828.13,0.298231
1754018040912,1835.94,0.211605
1754018040912,1843.75,0.163068
1754018040912,1851.56,1.941683
1754018040912,1859.38,5.74471
1754018040913,1867.19,3.840771
1754018040913,1875.0,0.920594
1754018041026,7.81,11.455103
1754018041026,15.63,2.57945
1754018041027,23.44,2.306389
1754018041027,31.25,5.771687
1754018041027,39.06,7.076436
1754018041027,46.88,23.772224
1754018041028,54.69,221.410154
1754018041028,62.5,287.640343
1754018041028,70.31,86.175358
1754018041029,78.12,13.38284
1754018041029,85.94,5.939177
1754018041029,93.75,11.334047
1754018041030,101.56,4.189543
1754018041030,109.37,51.43108
1754018041030,117.19,197.165354
1754018041031,125.0,169.436742
1754018041031,132.81,24.231763
1754018041031,140.62,9.148125
1754018041032,148.44,6.658051
1754018041032,156.25,7.820538
1754018041032,164.06,3.765853
1754018041033,171.87,41.843427
1754018041033,179.69,91.869297
1754018041033,187.5,51.650658
1754018041034,195.31,0.810148
1754018041034,203.12,4.224461
1754018041034,210.94,4.953685
1754018041035,218.75,5.604031
1754018041035,226.56,5.668847
1754018041035,234.37,21.361164
1754018041036,242.19,32.427416
1754018041036,250.0,10.886153
1754018041036,257.81,6.627042
1754018041036,265.62,4.92631
1754018041037,273.44,3.711007
1754018041037,281.25,3.950201
1754018041037,289.06,5.197465
1754018041038,296.87,28.467468
1754018041038,304.69,25.579589
1754018041038,312.5,5.927353
1754018041039,320.31,5.733283
1754018041039,328.12,4.625621
1754018041039,335.94,4.616169
1754018041040,343.75,2.455951
1754018041040,351.56,17.240268
1754018041040,359.37,41.899949
1754018041040,367.19,25.827319
1754018041041,375.0,4.729991
1754018041041,382.81,2.693694
1754018041041,390.62,3.554157
1754018041042,398.44,4.128466
1754018041042,406.25,4.355075
1754018041042,414.06,15.561925
1754018041042,421.87,23.972255
1754018041043,429.69,8.865542
1754018041043,437.5,3.130845
1754018041043,445.31,2.686296
1754018041043,453.12,2.63133
1754018041044,460.94,4.708216
1754018041044,468.75,4.768352
1754018041044,476.56,7.365016
1754018041044,484.37,8.760894
1754018041044,492.19,1.027819
1754018041045,500.0,6.757533
1754018041045,507.81,3.956131
1754018041045,515.62,1.911332
1754018041046,523.44,2.741538
1754018041046,531.25,4.336759
1754018041046,539.06,8.219597
1754018041046,546.87,5.339646
1754018041047,554.69,5.132934
1754018041047,562.5,5.679049
1754018041047,570.31,2.057338
1754018041047,578.12,0.934415
1754018041047,585.94,1.145594
1754018041048,593.75,6.732684
1754018041048,601.56,9.051379
1754018041048,609.37,4.473045
1754018041048,617.19,4.399767
1754018041049,625.0,2.130512
1754018041049,632.81,0.67725
1754018041049,640.62,0.147277
1754018041049,648.44,1.106708
1754018041050,656.25,3.841104
1754018041050,664.06,3.286449
1754018041050,671.87,1.522879
1754018041050,679.69,2.559034
1754018041051,687.5,0.602136
1754018041051,695.31,0.868531
1754018041051,703.12,2.215901
1754018041051,710.94,1.658894
1754018041052,718.75,3.596177
