timestamp_pc_ms,frequencia_hz,magnitude
1754017665823,1796.88,1.224093
1754017665823,1804.69,1.056606
1754017665824,1812.5,0.654529
1754017665824,1820.31,0.514333
1754017665824,1828.13,0.299085
1754017665824,1835.94,0.379086
1754017665825,1843.75,0.327118
1754017665825,1851.56,2.19391
1754017665825,1859.38,6.055358
1754017665826,1867.19,4.018217
1754017665826,1875.0,0.045471
1754017665826,1882.81,0.365978
1754017665826,1890.63,0.285975
1754017665827,1898.44,0.276104
1754017665889,7.81,1.101577
1754017665889,15.63,0.472717
1754017665890,23.44,0.58008
1754017665890,31.25,0.43091
1754017665890,39.06,1.607366
1754017665891,46.88,7.148256
1754017665891,54.69,63.180656
1754017665891,62.5,81.603515
1754017665892,70.31,24.461517
1754017665892,78.12,2.313526
1754017665892,85.94,0.859193
1754017665893,93.75,0.13903
1754017665893,101.56,0.445015
1754017665893,109.37,0.216829
1754017665894,117.19,0.815409
1754017665894,125.0,0.632335
1754017665894,132.81,0.621741
1754017665895,140.62,0.224431
1754017665895,148.44,0.248645
1754017665896,156.25,0.599961
1754017665896,164.06,0.898447
1754017665896,171.87,37.774673
1754017665897,179.69,81.852085
1754017665897,187.5,44.159156
1754017665897,195.31,0.123599
1754017665898,203.12,1.026676
1754017665898,210.94,0.281304
1754017665898,218.75,0.315056
1754017665899,226.56,0.615481
1754017665899,234.37,1.263194
1754017665899,242.19,1.505617
1754017665900,250.0,0.668932
1754017665900,257.81,0.239963
1754017665901,265.62,0.377592
1754017665901,273.44,1.053161
1754017665901,281.25,1.521346
1754017665902,289.06,15.181282
1754017665902,296.87,63.034319
1754017665903,304.69,57.119241
1754017665903,312.5,9.362478
1754017665903,320.31,2.007267
1754017665904,328.12,0.048867
1754017665904,335.94,0.480966
1754017665904,343.75,0.15415
1754017665905,351.56,0.544425
1754017665905,359.37,0.982061
1754017665905,367.19,0.516886
1754017665905,375.0,0.16522
1754017665906,382.81,0.336126
1754017665906,390.62,0.77909
1754017665906,398.44,0.251289
1754017665906,406.25,3.27027
1754017665907,414.06,37.41157
1754017665907,421.87,55.297537
1754017665907,429.69,19.998643
1754017665907,437.5,1.890666
1754017665908,445.31,0.56759
1754017665908,453.12,0.311122
1754017665908,460.94,0.190323
1754017665908,468.75,0.320935
1754017665909,476.56,0.81529
1754017665909,484.37,0.900311
1754017665909,492.19,0.27087
1754017665909,500.0,0.219576
1754017665910,507.81,0.475853
1754017665910,515.62,1.022904
1754017665910,523.44,0.464779
1754017665910,531.25,15.709857
1754017665911,539.06,40.096964
1754017665911,546.87,25.832226
1754017665911,554.69,2.212997
1754017665911,562.5,1.396384
1754017665912,570.31,0.706055
1754017665912,578.12,0.50526
1754017665912,585.94,0.590335
1754017665912,593.75,0.97034
1754017665913,601.56,1.197284
1754017665913,609.37,0.89059
1754017665913,617.19,0.504905
1754017665914,625.0,0.085581
1754017665914,632.81,0.486423
1754017665914,640.62,0.097761
1754017665914,648.44,4.454411
1754017665915,656.25,20.860102
1754017665915,664.06,21.738337
1754017665915,671.87,5.300397
1754017665916,679.69,1.537698
1754017665916,687.5,0.784506
1754017665916,695.31,0.427997
1754017665916,703.12,0.328336
1754017665917,710.94,0.526779
1754017665917,718.75,0.999872
1754017665917,726.56,0.953117
1754017665917,734.37,0.610726
1754017665918,742.19,0.171615
1754017665918,750.0,0.061953
1754017665918,757.81,0.506006
1754017665918,765.62,1.171742
1754017665919,773.44,7.174593
1754017665919,781.25,11.354458
1754017665919,789.06,5.279577
1754017665919,796.87,1.136976
1754017665920,804.69,0.285188
1754017665920,812.5,0.491302
1754017665920,820.31,0.413253
1754017665920,828.12,0.352929
1754017665921,835.94,0.758311
1754017665921,843.75,1.168543
1754017665921,851.56,0.996476
1754017665921,859.37,0.641549
1754017665922,867.19,0.201105
1754017665922,875.0,0.38517
1754017665922,882.81,0.779735
1754017665922,890.62,3.051852
1754017665923,898.44,7.028394
1754017665923,906.25,4.084747
1754017665923,914.06,0.69087
1754017665923,921.87,0.671783
1754017665923,929.69,0.245191
1754017665924,937.5,0.350414
1754017665924,945.31,0.387297
1754017665924,953.12,0.440447
1754017665924,960.94,0.930853
1754017665925,968.75,0.381978
1754017665925,976.56,0.766934
1754017665925,984.37,0.473788
1754017665926,992.19,0.394364
1754017665926,1000.0,1.052659
1754017665926,1007.81,2.095393
1754017665926,1015.62,8.989283
1754017665927,1023.44,10.272314
1754017665927,1031.25,1.897604
1754017665927,1039.06,1.11299
1754017665928,1046.88,0.180663
1754017665928,1054.69,0.700262
1754017665928,1062.5,0.647471
1754017665928,1070.31,0.35736
1754017665929,1078.13,0.902485
1754017665929,1085.94,0.431476
1754017665929,1093.75,0.539522
1754017665930,1101.56,0.567041
1754017665930,1109.38,0.434354
1754017665930,1117.19,0.831477
1754017665930,1125.0,1.21855
1754017665931,1132.81,6.863101
1754017665931,1140.63,13.780104
1754017665931,1148.44,6.795523
1754017665931,1156.25,0.698936
1754017665932,1164.06,0.523302
1754017665932,1171.88,0.26953
1754017665932,1179.69,0.293135
1754017665932,1187.5,0.293843
1754017665933,1195.31,0.853801
1754017665933,1203.13,1.176005
1754017665933,1210.94,0.378306
1754017665933,1218.75,0.357178
1754017665934,1226.56,0.062887
1754017665934,1234.38,0.476421
1754017665934,1242.19,0.552998
1754017665934,1250.0,3.524319
1754017665935,1257.81,12.54687
1754017665935,1265.63,10.810917
1754017665935,1273.44,1.502383
1754017665936,1281.25,0.43117
1754017665936,1289.06,0.215685
1754017665936,1296.88,0.140111
1754017665936,1304.69,0.452215
1754017665937,1312.5,0.655258
1754017665937,1320.31,0.532239
1754017665937,1328.13,0.24631
1754017665937,1335.94,0.285259
1754017665938,1343.75,0.358655
1754017665938,1351.56,0.514776
1754017665938,1359.38,0.909511
1754017665938,1367.19,1.282785
1754017665939,1375.0,6.404373
1754017665939,1382.81,8.975189
1754017665939,1390.63,3.326043
1754017665939,1398.44,0.819694
1754017665940,1406.25,0.670722
1754017665940,1414.06,0.674651
1754017665940,1421.88,0.090926
1754017665941,1429.69,0.490772
1754017665941,1437.5,0.7118
1754017665941,1445.31,0.848572
1754017665941,1453.13,0.534055
1754017665942,1460.94,0.273048
1754017665942,1468.75,0.54029
1754017665942,1476.56,0.851318
1754017665943,1484.38,0.855666
1754017665943,1492.19,2.685169
1754017665943,1500.0,5.289284
1754017665943,1507.81,3.409467
1754017665944,1515.63,0.72372
1754017665944,1523.44,0.50918
1754017665944,1531.25,0.482037
1754017665944,1539.06,0.258639
1754017665945,1546.88,0.023775
1754017665945,1554.69,0.379873
1754017665945,1562.5,0.747603
1754017665946,1570.31,0.645811
1754017665946,1578.13,0.237183
1754017665946,1585.94,0.037957
1754017665946,1593.75,0.37115
1754017665947,1601.56,0.914484
1754017665947,1609.38,1.305531
1754017665947,1617.19,2.108118
1754017665947,1625.0,1.629982
1754017665948,1632.81,0.738642
1754017665948,1640.63,0.729026
1754017665948,1648.44,0.676502
1754017665948,1656.25,0.358193
1754017665949,1664.06,0.469486
1754017665949,1671.88,0.845378
1754017665949,1679.69,0.775331
1754017665949,1687.5,0.311613
1754017665950,1695.31,0.129197
1754017665950,1703.13,0.241911
1754017665950,1710.94,0.41375
1754017665951,1718.75,0.330003
1754017665951,1726.56,0.642799
1754017665951,1734.38,2.68925
1754017665951,1742.19,3.597532
1754017665952,1750.0,0.854176
1754017665952,1757.81,0.864422
1754017665952,1765.63,0.374581
1754017665952,1773.44,0.503384
1754017665953,1781.25,0.460763
1754017665953,1789.06,0.202813
1754017665953,1796.88,0.663594
1754017665953,1804.69,0.722615
1754017665954,1812.5,0.994945
1754017665954,1820.31,0.622978
1754017665954,1828.13,0.140028
1754017665954,1835.94,0.228827
1754017665955,1843.75,0.600447
1754017665955,1851.56,2.794383
1754017665955,1859.38,6.198994
1754017665956,1867.19,4.153482
1754017665956,1875.0,0.731225
1754017665956,1882.81,0.452915
1754017665956,1890.63,0.213131
1754017665957,1898.44,0.299922
1754017665957,1906.25,0.354745
1754017665957,1914.06,0.250446
1754017665957,1921.88,0.631118
1754017665958,1929.69,0.542856
1754017665958,1937.5,0.4573
1754017665958,1945.31,0.058339
1754017665958,1953.13,0.360835
1754017665959,1960.94,0.409207
1754017665959,1968.75,1.06726
1754017665959,1976.56,4.876309
1754017665959,1984.38,5.766394
1754017665960,1992.19,1.743694
1754017665960,2000.0,0.877148
1754017665960,2007.81,0.339529
1754017665961,2015.63,0.222003
1754017665961,2023.44,0.082871
1754017665961,2031.25,0.295907
1754017665961,2039.06,0.338765
1754017665962,2046.88,0.155746
1754017665962,2054.69,0.526696
1754017665962,2062.5,0.177741
1754017665962,2070.31,0.390777
1754017665963,2078.13,0.19623
1754017665963,2085.94,0.13136
1754017665963,2093.75,2.970205
1754017665963,2101.56,5.692034
1754017665964,2109.38,3.082589
1754017665964,2117.19,0.998734
1754017665964,2125.0,0.327877
1754017665964,2132.81,0.302359
1754017665965,2140.63,0.075327
1754017665965,2148.44,0.25984
1754017665965,2156.25,0.134758
1754017665965,2164.06,0.080686
1754017665966,2171.88,0.443662
1754017665966,2179.69,0.39204
1754017665966,2187.5,0.269021
