timestamp_pc_ms,frequencia_hz,magnitude
1754018282016,0.5,0.274099
1754018282016,1820.31,0.151013
1754018282017,1828.13,0.036045
1754018282017,1835.94,0.142531
1754018282017,1843.75,0.218572
1754018282017,1851.56,0.260863
1754018282018,1859.38,0.328094
1754018282018,1867.19,0.218232
1754018282018,1875.0,0.177445
1754018282018,1882.81,0.415081
1754018282019,1890.63,0.445111
1754018282019,1898.44,0.150834
1754018282019,1906.25,0.067579
1754018282019,1914.06,0.023845
1754018282152,7.81,2.333677
1754018282152,15.63,0.45434
1754018282153,23.44,0.261744
1754018282153,31.25,0.234107
1754018282153,39.06,1.547347
1754018282154,46.88,7.672486
1754018282154,54.69,62.291332
1754018282154,62.5,79.240911
1754018282155,70.31,23.334663
1754018282155,78.12,2.637828
1754018282155,85.94,0.199249
1754018282155,93.75,0.631838
1754018282156,101.56,0.10754
1754018282156,109.37,0.30221
1754018282156,117.19,0.134296
1754018282157,125.0,0.16417
1754018282157,132.81,0.289448
1754018282157,140.62,0.078505
1754018282158,148.44,0.426808
1754018282158,156.25,0.56071
1754018282158,164.06,0.19449
1754018282158,171.87,9.461524
1754018282159,179.69,20.057475
1754018282159,187.5,10.856373
1754018282159,195.31,0.230561
1754018282160,203.12,0.026603
1754018282160,210.94,0.231119
1754018282160,218.75,0.173081
1754018282161,226.56,0.49082
1754018282161,234.37,0.344556
1754018282161,242.19,0.377657
1754018282162,250.0,0.210178
1754018282162,257.81,0.290423
1754018282162,265.62,0.485269
1754018282162,273.44,0.426234
1754018282163,281.25,0.23206
1754018282163,289.06,1.138735
1754018282163,296.87,4.171187
1754018282164,304.69,3.413952
1754018282164,312.5,0.398987
1754018282164,320.31,0.246307
1754018282165,328.12,0.573381
1754018282165,335.94,0.539806
1754018282165,343.75,0.443363
1754018282166,351.56,0.495704
1754018282166,359.37,0.484017
1754018282166,367.19,0.407978
1754018282166,375.0,0.124141
1754018282167,382.81,0.447568
1754018282167,390.62,0.300074
1754018282167,398.44,0.159962
1754018282168,406.25,0.175763
1754018282168,414.06,1.21685
1754018282168,421.87,1.678956
1754018282168,429.69,0.516688
1754018282169,437.5,0.536616
1754018282169,445.31,0.265483
1754018282169,453.12,0.327456
1754018282169,460.94,0.492935
1754018282170,468.75,0.517765
1754018282170,476.56,0.421819
