timestamp_pc_ms,frequencia_hz,magnitude
1754017459861,8.0,0.258964
1754017459862,1804.69,0.230208
1754017459862,1812.5,0.193278
1754017459862,1820.31,0.092401
1754017459863,1828.13,0.132695
1754017459863,1835.94,0.186425
1754017459863,1843.75,0.320644
1754017459863,1851.56,0.266325
1754017459864,1859.38,0.462808
1754017459864,1867.19,0.369526
1754017459864,1875.0,0.148776
1754017459864,1882.81,0.115594
1754017459865,1890.63,0.187788
1754017459865,1898.44,0.341261
1754017460062,7.81,0.202954
1754017460063,15.63,0.071455
1754017460063,23.44,0.108216
1754017460063,31.25,0.049617
1754017460063,39.06,0.221842
1754017460064,46.88,0.290975
1754017460064,54.69,0.403544
1754017460064,62.5,0.499056
1754017460065,70.31,0.267088
1754017460065,78.12,0.229024
1754017460065,85.94,0.396715
1754017460065,93.75,0.231125
1754017460066,101.56,0.119443
1754017460066,109.37,0.14914
1754017460066,117.19,0.128283
1754017460067,125.0,0.141676
1754017460067,132.81,0.476358
1754017460067,140.62,0.405478
1754017460068,148.44,0.135297
1754017460068,156.25,0.475209
1754017460068,164.06,0.496721
1754017460069,171.87,0.293479
1754017460069,179.69,0.209269
1754017460069,187.5,0.320841
1754017460069,195.31,0.232385
1754017460070,203.12,0.183478
1754017460070,210.94,0.404955
1754017460070,218.75,0.639907
1754017460071,226.56,0.319852
1754017460071,234.37,0.406394
1754017460071,242.19,0.524309
1754017460072,250.0,0.302442
1754017460072,257.81,0.252388
1754017460072,265.62,0.289883
1754017460072,273.44,0.294347
1754017460073,281.25,0.330689
1754017460073,289.06,0.517071
1754017460073,296.87,0.333832
1754017460074,304.69,0.270554
1754017460074,312.5,0.188436
1754017460074,320.31,0.078443
1754017460075,328.12,0.324981
1754017460075,335.94,0.350019
1754017460075,343.75,0.281835
1754017460076,351.56,0.350204
1754017460076,359.37,0.23759
1754017460076,367.19,0.219308
1754017460077,375.0,0.24358
1754017460077,382.81,0.377874
1754017460077,390.62,0.478438
1754017460078,398.44,0.632414
1754017460078,406.25,0.341174
1754017460078,414.06,0.106647
1754017460078,421.87,0.159264
1754017460079,429.69,0.390721
1754017460079,437.5,0.494922
1754017460079,445.31,0.262355
1754017460079,453.12,0.212652
1754017460080,460.94,0.289063
1754017460080,468.75,0.473187
1754017460080,476.56,0.45735
1754017460080,484.37,0.171236
