timestamp_pc_ms,frequencia_hz,magnitude
1754051291849,7.81,14.902464
1754051291849,15.63,1.446507
1754051291850,23.44,1.380766
1754051291850,31.25,2.9042
1754051291851,39.06,8.943089
1754051291851,46.88,45.138453
1754051291851,54.69,378.572567
1754051291852,62.5,481.875165
1754051291852,70.31,141.801143
1754051291853,78.12,13.741311
1754051291853,85.94,4.576315
1754051291854,93.75,1.885752
1754051291854,101.56,2.718808
1754051291855,109.37,14.948574
1754051291855,117.19,53.244062
1754051291855,125.0,45.063561
1754051291856,132.81,6.187567
1754051291856,140.62,1.096359
1754051291857,148.44,0.336333
1754051291857,156.25,0.70242
1754051291858,164.06,0.844311
1754051291858,171.87,72.253223
1754051291858,179.69,152.870781
1754051291859,187.5,81.047811
1754051291859,195.31,0.911591
1754051291860,203.12,0.152937
1754051291860,210.94,0.139567
1754051291861,218.75,0.996449
1754051291861,226.56,4.476984
1754051291861,234.37,43.548167
1754051291862,242.19,58.404382
1754051291862,250.0,18.5283
1754051291863,257.81,0.956357
1754051291863,265.62,0.618843
1754051291863,273.44,0.635123
1754051291864,281.25,2.293856
1754051291864,289.06,17.808767
1754051291865,296.87,72.660728
1754051291865,304.69,63.867095
1754051291866,312.5,9.944766
1754051291866,320.31,1.913568
1754051291867,328.12,0.714025
1754051291867,335.94,0.641854
1754051291868,343.75,0.770276
1754051291868,351.56,25.279787
1754051291869,359.37,57.199311
1754051291869,367.19,32.464101
1754051291870,375.0,1.211588
1754051291870,382.81,0.257521
1754051291871,390.62,0.25744
1754051291871,398.44,0.542489
1754051291872,406.25,2.645997
1754051291872,414.06,30.071156
1754051291873,421.87,42.84102
1754051291873,429.69,14.812866
1754051291874,437.5,1.104327
1754051291874,445.31,0.789923
1754051291874,453.12,0.403166
1754051291875,460.94,1.52542
1754051291875,468.75,10.705606
1754051291876,476.56,46.58386
1754051291876,484.37,43.127902
1754051291876,492.19,7.607473
1754051291877,500.0,0.863802
1754051291877,507.81,0.823275
1754051291878,515.62,0.414449
1754051291878,523.44,0.0717
1754051291878,531.25,8.905178
1754051291879,539.06,21.613423
1754051291879,546.87,12.85724
1754051291880,554.69,0.356387
1754051291880,562.5,0.211729
1754051291881,570.31,0.290523
1754051291881,578.12,0.281572
1754051291882,585.94,2.602483
1754051291882,593.75,30.50806
1754051291883,601.56,45.8822
1754051291883,609.37,17.000307
1754051291883,617.19,0.653798
1754051291884,625.0,0.778487
1754051291884,632.81,0.237761
1754051291885,640.62,0.075358
1754051291885,648.44,1.173438
1754051291886,656.25,5.615031
1754051291886,664.06,5.305413
1754051291886,671.87,0.794007
1754051291887,679.69,0.777765
1754051291887,687.5,0.161567
1754051291888,695.31,0.225346
1754051291888,703.12,0.931091
1754051291888,710.94,14.986488
1754051291889,718.75,38.802916
1754051291889,726.56,24.707223
1754051291890,734.37,1.684504
1754051291890,742.19,0.602217
1754051291891,750.0,0.698472
1754051291891,757.81,0.425641
1754051291892,765.62,0.278016
1754051291892,773.44,2.846643
1754051291893,781.25,4.289659
1754051291893,789.06,1.711503
1754051291894,796.87,0.227502
1754051291894,804.69,0.497048
1754051291895,812.5,1.265426
1754051291895,820.31,0.591253
1754051291896,828.12,5.357185
1754051291896,835.94,26.977429
