timestamp_pc_ms,frequencia_hz,magnitude
1754019188322,7.81,2.112074
1754019188323,15.63,0.731692
1754019188323,23.44,1.254456
1754019188323,31.25,3.065492
1754019188324,39.06,8.673983
1754019188324,46.88,46.546036
1754019188325,54.69,389.249764
1754019188325,62.5,495.595231
1754019188325,70.31,146.015456
1754019188326,78.12,13.868077
1754019188326,85.94,4.574105
1754019188327,93.75,1.497009
1754019188327,101.56,1.946573
1754019188327,109.37,13.025491
1754019188328,117.19,47.709393
1754019188328,125.0,39.859859
1754019188329,132.81,5.84397
1754019188329,140.62,0.804957
1754019188330,148.44,0.190435
1754019188330,156.25,0.427808
1754019188331,164.06,1.191802
1754019188331,171.87,75.552426
1754019188332,179.69,161.246128
1754019188332,187.5,85.876144
1754019188332,195.31,1.242593
1754019188333,203.12,0.784056
1754019188333,210.94,0.58709
1754019188334,218.75,0.94796
1754019188334,226.56,3.040205
1754019188335,234.37,30.125575
1754019188335,242.19,41.000049
1754019188335,250.0,13.701638
1754019188336,257.81,0.213414
1754019188336,265.62,1.174887
1754019188337,273.44,0.145343
1754019188337,281.25,2.600015
1754019188338,289.06,17.14976
1754019188338,296.87,70.861861
1754019188339,304.69,62.786646
1754019188339,312.5,10.319845
1754019188340,320.31,0.904299
1754019188340,328.12,1.307188
1754019188340,335.94,0.4105
1754019188341,343.75,0.450088
1754019188341,351.56,14.764157
1754019188342,359.37,33.123643
1754019188342,367.19,18.74825
1754019188343,375.0,0.662192
1754019188343,382.81,0.361723
1754019188344,390.62,0.371831
1754019188344,398.44,1.28487
1754019188344,406.25,1.786384
1754019188345,414.06,27.972688
1754019188345,421.87,40.301449
1754019188346,429.69,13.74897
1754019188346,437.5,1.166542
1754019188347,445.31,0.480135
1754019188347,453.12,0.203754
1754019188347,460.94,0.396218
1754019188348,468.75,5.1555
1754019188348,476.56,20.561093
1754019188349,484.37,18.932047
1754019188349,492.19,3.547041
1754019188350,500.0,0.417665
1754019188350,507.81,0.515216
1754019188350,515.62,0.252394
1754019188351,523.44,0.373127
1754019188351,531.25,9.334626
1754019188352,539.06,22.376077
1754019188352,546.87,13.234977
1754019188353,554.69,0.565384
